iter	RMSE
0	3.065815244
1	3.065206322
2	3.065041684
3	3.063943282
4	3.063640195
5	3.063422582
6	3.062624517
7	3.061937453
8	3.061658157
9	3.061131295
10	3.060813209
11	3.060660014
12	3.060384323
13	3.059940383
14	3.059428918
15	3.058537345
16	3.057895941
17	3.057405435
18	3.05692937
19	3.056532967
20	3.056116876
21	3.055361716
22	3.055122946
23	3.054576477
24	3.053981586
25	3.053364484
26	3.052977725
27	3.052465605
28	3.051922873
29	3.051444353
30	3.051128746
31	3.050737617
32	3.050161803
33	3.049888787
34	3.049062237
35	3.048752454
36	3.048030272
37	3.047186593
38	3.046774716
39	3.046109213
40	3.04578381
41	3.045705674
42	3.045402805
43	3.04530569
44	3.044734882
45	3.044473571
46	3.044253402
47	3.043779794
48	3.043380311
49	3.042883439
50	3.04268008
51	3.04250579
52	3.042105824
53	3.041954708
54	3.041532861
55	3.041013262
56	3.040413641
57	3.040107459
58	3.039685305
59	3.039205013
60	3.039078399
61	3.038695533
62	3.038444758
63	3.038293692
64	3.038106892
65	3.037735096
66	3.036751184
67	3.036335925
68	3.035819384
69	3.035594202
70	3.035461654
71	3.035129927
72	3.034564532
73	3.03411353
74	3.033769986
75	3.032883899
76	3.032547559
77	3.031972476
78	3.031620361
79	3.030882515
80	3.03040672
81	3.029521536
82	3.029112236
83	3.02846357
84	3.028118962
85	3.02791057
86	3.027195992
87	3.026822637
88	3.026382566
89	3.025970292
90	3.025613568
91	3.025056008
92	3.024514465
93	3.024138575
94	3.023861283
95	3.023216571
96	3.022364195
97	3.021400814
98	3.021215533
99	3.020939037
100	3.020662284
101	3.020075562
102	3.019826875
103	3.019267248
104	3.018701026
105	3.018106559
106	3.017969172
107	3.017575595
108	3.016988723
109	3.016706796
110	3.016509828
111	3.0160824
112	3.015759713
113	3.015300141
114	3.014806199
115	3.014217441
116	3.013815717
117	3.013645663
118	3.013269756
119	3.01245886
120	3.012159707
121	3.011501844
122	3.011265768
123	3.011088819
124	3.010624107
125	3.01012046
126	3.009448033
127	3.009177538
128	3.008560505
129	3.008176815
130	3.007943891
131	3.007684077
132	3.007225532
133	3.006833318
134	3.006615952
135	3.006372344
136	3.005866139
137	3.005180919
138	3.004524536
139	3.004177342
140	3.003785946
141	3.003350867
142	3.003077261
143	3.002967847
144	3.002368769
145	3.001734179
146	3.001147609
147	3.000823619
148	3.00018144
149	2.999725529
150	2.998935497
151	2.998565763
152	2.998097755
153	2.997856685
154	2.997498645
155	2.997060615
156	2.996571735
157	2.995878861
158	2.995745445
159	2.995329233
160	2.994734442
161	2.994339893
162	2.993971569
163	2.993729034
164	2.993033291
165	2.99212933
166	2.991863569
167	2.99161104
168	2.99107565
169	2.990852189
170	2.990650026
171	2.99040237
172	2.990047015
173	2.989509131
174	2.98918491
175	2.988866943
176	2.988419943
177	2.98779357
178	2.987580413
179	2.987304684
180	2.986758653
181	2.986414739
182	2.985711688
183	2.985174453
184	2.984837665
185	2.984349629
186	2.983761389
187	2.983552057
188	2.982989954
189	2.982527055
190	2.982044892
191	2.981710849
192	2.981139566
193	2.980708743
194	2.980470024
195	2.98035876
196	2.979612615
197	2.979101066
198	2.97856394
199	2.978374562
200	2.978239681
201	2.9780417
202	2.977587062
203	2.977396682
204	2.976854343
205	2.976383185
206	2.975839093
207	2.975005005
208	2.974665217
209	2.974293486
210	2.974106676
211	2.973981059
212	2.973292713
213	2.973072143
214	2.972772508
215	2.972497866
216	2.972444681
217	2.972185414
218	2.971650259
219	2.971119065
220	2.97078695
221	2.970529731
222	2.969993515
223	2.969600563
224	2.969386033
225	2.968845391
226	2.968628886
227	2.968238889
228	2.967864103
229	2.967521035
230	2.967049947
231	2.966782874
232	2.965831299
233	2.965545841
234	2.965285348
235	2.964957179
236	2.964686731
237	2.964457023
238	2.964419826
239	2.964033023
240	2.963819705
241	2.963574616
242	2.962928316
243	2.962702356
244	2.962235998
245	2.961880322
246	2.961616219
247	2.961466335
248	2.960696617
249	2.960473473
250	2.960293643
251	2.95972927
252	2.958904633
253	2.958341959
254	2.957952649
255	2.957809225
256	2.957476608
257	2.956767059
258	2.956480305
259	2.956114281
260	2.955753042
261	2.955100602
262	2.954759952
263	2.954193665
264	2.953851783
265	2.95319397
266	2.953114677
267	2.952201321
268	2.951806566
269	2.95128958
270	2.951135517
271	2.950830788
272	2.950198179
273	2.949943933
274	2.949672622
275	2.949351384
276	2.949132945
277	2.948900844
278	2.948460191
279	2.948119998
280	2.947708833
281	2.947150991
282	2.946878054
283	2.946691358
284	2.946546499
285	2.946178064
286	2.946056686
287	2.945758295
288	2.945395809
289	2.944912031
290	2.944295033
291	2.943933514
292	2.943847386
293	2.943591239
294	2.943285626
295	2.942616349
296	2.94194523
297	2.941822805
298	2.941428747
299	2.941253877
300	2.94089724
301	2.94071282
302	2.940414414
303	2.940099306
304	2.939471424
305	2.938953701
306	2.938523313
307	2.937945774
308	2.937624315
309	2.937416321
310	2.937196967
311	2.936798077
312	2.935980386
313	2.935757032
314	2.935676018
315	2.934922711
316	2.934388276
317	2.933980677
318	2.933551346
319	2.933235762
320	2.932864949
321	2.932090534
322	2.93145357
323	2.931216198
324	2.930635172
325	2.930259181
326	2.929759954
327	2.929399698
328	2.929187199
329	2.928962313
330	2.928691547
331	2.92826158
332	2.927954888
333	2.927659755
334	2.927336736
335	2.927127593
336	2.926922968
337	2.926364725
338	2.926200193
339	2.925805671
340	2.925673529
341	2.925031323
342	2.92462326
343	2.92427744
344	2.923892397
345	2.92368888
346	2.923507417
347	2.923221464
348	2.922799058
349	2.922576387
350	2.922262024
351	2.921918206
352	2.921523046
353	2.921099432
354	2.920532226
355	2.920312688
356	2.920119606
357	2.919615547
358	2.919301283
359	2.918993141
360	2.918686657
361	2.918410954
362	2.918118764
363	2.917668364
364	2.917381433
365	2.916976055
366	2.916703719
367	2.916326285
368	2.915784097
369	2.915353772
370	2.915127547
371	2.914932973
372	2.914518136
373	2.914307279
374	2.91367014
375	2.913283228
376	2.913048499
377	2.912730451
378	2.912589382
379	2.912391167
380	2.911936944
381	2.911671434
382	2.911297557
383	2.910920087
384	2.91050426
385	2.909966702
386	2.909594857
387	2.90929303
388	2.90895737
389	2.90855736
390	2.908222582
391	2.908123357
392	2.907634151
393	2.907276434
394	2.906982058
395	2.906671038
396	2.906316015
397	2.906030725
398	2.905672577
399	2.905239627
400	2.904691202
401	2.904442345
402	2.90388919
403	2.903589128
404	2.903408423
405	2.903322138
406	2.902854289
407	2.902266041
408	2.902024231
409	2.901522315
410	2.900945572
411	2.900666943
412	2.900307123
413	2.900114367
414	2.899776506
415	2.899710747
416	2.899195159
417	2.898746363
418	2.898570998
419	2.898219854
420	2.8979057
421	2.897604249
422	2.897202488
423	2.896840902
424	2.896689006
425	2.896476663
426	2.896033519
427	2.895759454
428	2.895452925
429	2.895369679
430	2.895161232
431	2.89461497
432	2.894416159
433	2.89399338
434	2.893768532
435	2.893559792
436	2.89321198
437	2.892269851
438	2.891777785
439	2.891677911
440	2.891314555
441	2.890717075
442	2.890378172
443	2.890059184
444	2.889752031
445	2.889144216
446	2.888898648
447	2.888494224
448	2.887737621
449	2.887358938
450	2.88690042
451	2.886145459
452	2.885955018
453	2.885795891
454	2.88550316
455	2.88524949
456	2.88485575
457	2.884752716
458	2.8843683
459	2.884240517
460	2.884133686
461	2.883937934
462	2.883513325
463	2.883235713
464	2.883023469
465	2.882856756
466	2.882491742
467	2.882347594
468	2.882217372
469	2.882086301
470	2.881593524
471	2.880992986
472	2.880820843
473	2.880641869
474	2.880177865
475	2.87990024
476	2.879623427
477	2.878950219
478	2.878476814
479	2.878236801
480	2.877980577
481	2.877628615
482	2.87735608
483	2.877125976
484	2.876948855
485	2.876843228
486	2.876447463
487	2.876090755
488	2.875813845
489	2.875659891
490	2.875232375
491	2.875077735
492	2.874849495
493	2.874496633
494	2.874243215
495	2.874009054
496	2.873766615
497	2.87338611
498	2.873176126
499	2.872802236
500	2.87228146
501	2.872097167
502	2.871848319
503	2.871509516
504	2.871360481
505	2.870955392
506	2.870344249
507	2.869934257
508	2.869592708
509	2.869288367
510	2.869096982
511	2.868545733
512	2.868265078
513	2.867570935
514	2.867125001
515	2.866729435
516	2.866430884
517	2.866217781
518	2.865848595
519	2.865492322
520	2.864860401
521	2.864611519
522	2.864534114
523	2.864087537
524	2.863724996
525	2.862844026
526	2.862571728
527	2.862086515
528	2.86180897
529	2.861673294
530	2.861513615
531	2.861157081
532	2.860812748
533	2.860582685
534	2.860388431
535	2.860050319
536	2.859832966
537	2.859789545
538	2.859478288
539	2.859177855
540	2.859005517
541	2.858862984
542	2.858769565
543	2.858637478
544	2.858254258
545	2.857647535
546	2.857092873
547	2.856792878
548	2.856490232
549	2.856386956
550	2.855893226
551	2.855630646
552	2.855404798
553	2.85500357
554	2.854834285
555	2.854416589
556	2.854268811
557	2.853926187
558	2.85362738
559	2.853413599
560	2.853109488
561	2.852158547
562	2.8516387
563	2.851400441
564	2.850961004
565	2.850771611
566	2.850640912
567	2.850229701
568	2.84979682
569	2.84952085
570	2.849269909
571	2.848926892
572	2.848513748
573	2.848268845
574	2.848149026
575	2.847405596
576	2.846924062
577	2.846775052
578	2.846401435
579	2.84596914
580	2.845582415
581	2.845397036
582	2.845022375
583	2.844693028
584	2.844367811
585	2.844156626
586	2.84403193
587	2.843964286
588	2.84364032
589	2.843204943
590	2.842877226
591	2.84254883
592	2.842340394
593	2.842143279
594	2.841945349
595	2.84177078
596	2.841064299
597	2.840735926
598	2.840479507
599	2.840373646
600	2.840072395
601	2.839399181
602	2.838597997
603	2.838258611
604	2.837845357
605	2.837617553
606	2.83736986
607	2.837146581
608	2.836873528
609	2.836598692
610	2.83650235
611	2.836085428
612	2.835903798
613	2.835603991
614	2.835488693
615	2.835016108
616	2.834721877
617	2.834403606
618	2.834108783
619	2.833717785
620	2.833333306
621	2.832840446
622	2.832493914
623	2.831718736
624	2.831534045
625	2.831285419
626	2.831126605
627	2.830887724
628	2.830586933
629	2.830364953
630	2.83004664
631	2.829539316
632	2.829473861
633	2.8289626
634	2.828576728
635	2.827983057
636	2.827569847
637	2.827298011
638	2.827068398
639	2.826602243
640	2.826486155
641	2.826261852
642	2.82609057
643	2.825805974
644	2.825409286
645	2.825146169
646	2.824996164
647	2.824532564
648	2.824146318
649	2.823924496
650	2.823793733
651	2.823579989
652	2.823337239
653	2.823166398
654	2.822813634
655	2.822537703
656	2.822257004
657	2.821717917
658	2.82129012
659	2.821213297
660	2.8209666
661	2.82082234
662	2.820705372
663	2.82051983
664	2.820430551
665	2.819949105
666	2.819658743
667	2.819300783
668	2.819140598
669	2.818888165
670	2.818439092
671	2.818274441
672	2.817956819
673	2.817410056
674	2.817214707
675	2.816548953
676	2.816245135
677	2.815796472
678	2.815451157
679	2.815317137
680	2.814928095
681	2.814488203
682	2.814109658
683	2.813773032
684	2.813380446
685	2.813072887
686	2.812973085
687	2.812865119
688	2.812280903
689	2.811993327
690	2.81183807
691	2.811684588
692	2.811259554
693	2.810980533
694	2.810843532
695	2.810595952
696	2.810528037
697	2.810455818
698	2.81016588
699	2.809859577
700	2.809693067
701	2.809425847
702	2.809334692
703	2.809090416
704	2.808682639
705	2.80834336
706	2.808202654
707	2.807889517
708	2.807791633
709	2.807477766
710	2.807410635
711	2.807356483
712	2.807021242
713	2.806341524
714	2.806042136
715	2.805634785
716	2.805316143
717	2.804645999
718	2.804331277
719	2.804117042
720	2.803646004
721	2.803447702
722	2.803319248
723	2.802988381
724	2.802914231
725	2.802508677
726	2.802437141
727	2.802149453
728	2.801852455
729	2.801499365
730	2.801113352
731	2.800883405
732	2.800758056
733	2.800679718
734	2.800355392
735	2.800104223
736	2.80002294
737	2.799966085
738	2.799845347
739	2.79950278
740	2.799127487
741	2.798810124
742	2.798567373
743	2.798173753
744	2.797861317
745	2.797570347
746	2.797268098
747	2.796971079
748	2.796882853
749	2.796761938
750	2.796634178
751	2.796312519
752	2.79605177
753	2.795908975
754	2.795679789
755	2.795433888
756	2.795140773
757	2.794812906
758	2.794668569
759	2.794533082
760	2.794311242
761	2.794218938
762	2.794087362
763	2.793898279
764	2.793626515
765	2.793505007
766	2.793258028
767	2.793137501
768	2.792963169
769	2.792671086
770	2.792403482
771	2.792240315
772	2.792038576
773	2.79192969
774	2.79163192
775	2.791317264
776	2.791032222
777	2.790727151
778	2.790487181
779	2.790386166
780	2.790146037
781	2.789756033
782	2.789561241
783	2.78922881
784	2.788930652
785	2.788884853
786	2.788394686
787	2.787878939
788	2.787646058
789	2.787492083
790	2.787322926
791	2.787233512
792	2.787119664
793	2.787004137
794	2.786662832
795	2.786410481
796	2.786176951
797	2.785985114
798	2.785798458
799	2.78563967
800	2.785559301
801	2.785467817
802	2.785192049
803	2.785029721
804	2.78479269
805	2.784656507
806	2.784051451
807	2.783861508
808	2.783782084
809	2.783406996
810	2.78317203
811	2.783013529
812	2.782883598
813	2.782651529
814	2.782422274
815	2.782196945
816	2.782082488
817	2.781861819
818	2.7817271
819	2.781406365
820	2.780947987
821	2.780819506
822	2.780621439
823	2.780498111
824	2.780413716
825	2.780160733
826	2.780055457
827	2.779822485
828	2.779172288
829	2.778954612
830	2.778835607
831	2.778732645
832	2.77848795
833	2.778386174
834	2.77812998
835	2.777625671
836	2.776817834
837	2.776756883
838	2.776636312
839	2.776350648
840	2.776141106
841	2.776047748
842	2.775747063
843	2.775541872
844	2.775408084
845	2.774851092
846	2.774754157
847	2.774198891
848	2.774061119
849	2.773922515
850	2.773818804
851	2.773596362
852	2.773470286
853	2.773323181
854	2.772680647
855	2.772553579
856	2.772438352
857	2.772328021
858	2.772196093
859	2.771912012
860	2.771683427
861	2.771609012
862	2.771262018
863	2.770719067
864	2.770115996
865	2.770019167
866	2.769361715
867	2.76911262
