iter	Passed	Remaining
0	131	659121
1	132	331392
2	133	222105
3	134	167607
4	134	134672
5	135	112675
6	135	96985
7	136	85255
8	137	76099
9	137	68786
10	138	63030
11	139	58066
12	140	53829
13	140	50206
14	141	47102
15	142	44379
16	143	41970
17	143	39847
18	144	37935
19	145	36195
20	145	34612
21	146	33213
22	147	31914
23	148	30695
24	148	29565
25	149	28541
26	149	27590
27	150	26701
28	150	25876
29	151	25101
30	152	24386
31	152	23711
32	153	23076
33	153	22481
34	154	21922
35	155	21387
36	155	20885
37	156	20409
38	156	19963
39	157	19541
40	158	19135
41	158	18757
42	159	18392
43	160	18039
44	160	17722
45	161	17418
46	162	17120
47	163	16835
48	163	16562
49	164	16292
50	165	16051
51	166	15818
52	166	15575
53	167	15347
54	168	15131
55	169	14927
56	169	14733
57	170	14530
58	171	14341
59	171	14158
60	172	13986
61	173	13837
62	174	13687
63	175	13563
64	176	13422
65	177	13270
66	178	13128
67	179	12988
68	179	12847
69	180	12712
70	181	12580
71	181	12451
72	182	12327
73	183	12206
74	184	12086
75	184	11971
76	185	11857
77	186	11747
78	186	11639
79	187	11533
80	188	11430
81	188	11328
82	189	11233
83	190	11142
84	191	11051
85	191	10958
86	192	10870
87	193	10783
88	193	10699
89	194	10616
90	195	10535
91	195	10454
92	196	10377
93	197	10300
94	198	10225
95	198	10152
96	199	10082
97	200	10032
98	201	9969
99	202	9901
100	202	9834
101	203	9771
102	204	9707
103	204	9643
104	205	9588
105	206	9532
106	207	9470
107	207	9410
108	208	9353
109	209	9295
110	209	9239
111	210	9184
112	211	9129
113	211	9076
114	212	9025
115	213	8974
116	213	8922
117	214	8872
118	215	8823
119	215	8777
120	216	8730
121	217	8683
122	217	8638
123	218	8594
124	219	8554
125	220	8513
126	220	8475
127	221	8437
128	222	8394
129	222	8352
130	223	8310
131	224	8269
132	224	8229
133	225	8188
134	226	8148
135	226	8109
136	227	8070
137	228	8034
138	228	7996
139	229	7958
140	229	7921
141	230	7885
142	231	7851
143	231	7815
144	232	7783
145	233	7751
146	233	7718
147	234	7686
148	235	7658
149	235	7630
150	236	7598
151	237	7568
152	237	7537
153	238	7507
154	239	7477
155	239	7448
156	240	7420
157	241	7392
158	241	7363
159	242	7334
160	243	7306
161	243	7278
162	244	7251
163	244	7224
164	245	7196
165	246	7169
166	246	7142
167	247	7117
168	248	7090
169	248	7064
170	249	7039
171	249	7016
172	250	6995
173	251	6977
174	252	6954
175	252	6929
176	253	6905
177	254	6881
178	254	6858
179	255	6834
180	255	6811
181	256	6789
182	257	6768
183	257	6746
184	258	6725
185	259	6704
186	259	6684
187	260	6663
188	260	6643
189	261	6623
190	262	6603
191	263	6586
192	263	6571
193	264	6560
194	265	6543
195	266	6524
196	266	6505
197	267	6486
198	268	6469
199	268	6451
200	269	6433
201	270	6417
202	270	6402
203	271	6386
204	272	6370
205	273	6355
206	273	6338
207	274	6321
208	275	6304
209	275	6288
210	276	6271
211	276	6254
212	277	6237
213	278	6221
214	278	6206
215	279	6192
216	280	6178
217	281	6164
218	281	6148
219	282	6132
220	282	6117
221	283	6101
222	284	6086
223	284	6072
224	285	6057
225	286	6043
226	286	6028
227	287	6014
228	288	6000
229	288	5986
230	289	5973
231	290	5960
232	290	5946
233	291	5932
234	291	5919
235	292	5906
236	293	5893
237	293	5881
238	294	5870
239	295	5865
240	296	5856
241	297	5845
242	297	5833
243	298	5820
244	299	5809
245	299	5797
246	300	5786
247	301	5774
248	302	5764
249	302	5752
250	303	5741
251	304	5731
252	304	5720
253	305	5708
254	306	5697
255	306	5686
256	307	5677
257	308	5666
258	308	5656
259	309	5647
260	310	5637
261	311	5626
262	311	5616
263	312	5605
264	313	5594
265	313	5583
266	314	5573
267	314	5561
268	315	5550
269	316	5539
270	316	5528
271	317	5518
272	318	5507
273	318	5497
274	319	5486
275	319	5476
276	320	5466
277	321	5455
278	321	5445
279	322	5435
280	323	5425
281	323	5416
282	324	5407
283	325	5399
284	325	5390
285	326	5381
286	327	5372
287	327	5363
288	328	5354
289	329	5345
290	329	5336
291	330	5327
292	331	5318
293	331	5309
294	332	5301
295	333	5292
296	333	5284
297	334	5277
298	335	5270
299	335	5261
300	336	5254
301	337	5245
